MODL,REPL,MTHD,NL,TRUE_NE,ESTI_NE,FN,FP,RF
500M1,R0,RAxML,500,497,497,44,44,0.088531
500M1,R0,FastTree-Dbl,500,497,497,46,46,0.092555
500M1,R0,RAxML+fastTree,500,497,497,36,36,0.072435
500M1,R1,RAxML,500,493,497,44,40,0.084848
500M1,R1,FastTree-Dbl,500,493,497,40,36,0.076768
500M1,R1,RAxML+fastTree,500,493,497,35,31,0.066667
500M1,R2,RAxML,500,495,497,54,52,0.106855
500M1,R2,FastTree-Dbl,500,495,497,55,53,0.108871
500M1,R2,RAxML+fastTree,500,495,497,42,40,0.082661
500M1,R3,RAxML,500,496,497,57,56,0.113797
500M1,R3,FastTree-Dbl,500,496,497,52,51,0.103726
500M1,R3,RAxML+fastTree,500,496,497,42,41,0.083585
500M1,R4,RAxML,500,494,497,56,53,0.109990
500M1,R4,FastTree-Dbl,500,494,497,54,51,0.105954
500M1,R4,RAxML+fastTree,500,494,497,47,44,0.091826
500M1,R5,RAxML,500,496,497,59,58,0.117825
500M1,R5,FastTree-Dbl,500,496,497,52,51,0.103726
500M1,R5,RAxML+fastTree,500,496,497,44,43,0.087613
500M1,R6,RAxML,500,493,497,67,63,0.131313
500M1,R6,FastTree-Dbl,500,493,497,58,54,0.113131
500M1,R6,RAxML+fastTree,500,493,497,52,48,0.101010
500M1,R7,RAxML,500,496,497,54,53,0.107754
500M1,R7,FastTree-Dbl,500,496,497,48,47,0.095670
500M1,R7,RAxML+fastTree,500,496,497,40,39,0.079557
500M1,R8,RAxML,500,492,497,59,54,0.114257
500M1,R8,FastTree-Dbl,500,492,497,64,59,0.124368
500M1,R8,RAxML+fastTree,500,492,497,44,39,0.083923
500M1,R9,RAxML,500,495,497,42,40,0.082661
500M1,R9,FastTree-Dbl,500,495,497,50,48,0.098790
500M1,R9,RAxML+fastTree,500,495,497,37,35,0.072581
500M1,R10,RAxML,500,496,497,53,52,0.105740
500M1,R10,FastTree-Dbl,500,496,497,49,48,0.097684
500M1,R10,RAxML+fastTree,500,496,497,40,39,0.079557
500M1,R11,RAxML,500,495,497,49,47,0.096774
500M1,R11,FastTree-Dbl,500,495,497,52,50,0.102823
500M1,R11,RAxML+fastTree,500,495,497,43,41,0.084677
500M1,R12,RAxML,500,495,497,45,43,0.088710
500M1,R12,FastTree-Dbl,500,495,497,39,37,0.076613
500M1,R12,RAxML+fastTree,500,495,497,35,33,0.068548
500M1,R13,RAxML,500,494,497,54,51,0.105954
500M1,R13,FastTree-Dbl,500,494,497,49,46,0.095863
500M1,R13,RAxML+fastTree,500,494,497,37,34,0.071645
500M1,R14,RAxML,500,492,497,44,39,0.083923
500M1,R14,FastTree-Dbl,500,492,497,49,44,0.094034
500M1,R14,RAxML+fastTree,500,492,497,39,34,0.073812
500M1,R15,RAxML,500,496,497,47,46,0.093656
500M1,R15,FastTree-Dbl,500,496,497,44,43,0.087613
500M1,R15,RAxML+fastTree,500,496,497,35,34,0.069486
500M1,R16,RAxML,500,492,497,55,50,0.106168
500M1,R16,FastTree-Dbl,500,492,497,47,42,0.089990
500M1,R16,RAxML+fastTree,500,492,497,41,36,0.077856
500M1,R17,RAxML,500,496,497,56,55,0.111782
500M1,R17,FastTree-Dbl,500,496,497,56,55,0.111782
500M1,R17,RAxML+fastTree,500,496,497,41,40,0.081571
500M1,R18,RAxML,500,495,497,55,53,0.108871
500M1,R18,FastTree-Dbl,500,495,497,68,66,0.135081
500M1,R18,RAxML+fastTree,500,495,497,51,49,0.100806
500M1,R19,RAxML,500,495,497,59,57,0.116935
500M1,R19,FastTree-Dbl,500,495,497,46,44,0.090726
500M1,R19,RAxML+fastTree,500,495,497,38,36,0.074597
500M2,R0,RAxML,500,493,497,52,48,0.101010
500M2,R0,FastTree-Dbl,500,493,497,46,42,0.088889
500M2,R0,RAxML+fastTree,500,493,497,37,33,0.070707
500M2,R1,RAxML,500,496,497,43,42,0.085599
500M2,R1,FastTree-Dbl,500,496,497,44,43,0.087613
500M2,R1,RAxML+fastTree,500,496,497,37,36,0.073515
500M2,R2,RAxML,500,495,497,45,43,0.088710
500M2,R2,FastTree-Dbl,500,495,497,40,38,0.078629
500M2,R2,RAxML+fastTree,500,495,497,32,30,0.062500
500M2,R3,RAxML,500,495,497,48,46,0.094758
500M2,R3,FastTree-Dbl,500,495,497,55,53,0.108871
500M2,R3,RAxML+fastTree,500,495,497,39,37,0.076613
500M2,R4,RAxML,500,495,497,40,38,0.078629
500M2,R4,FastTree-Dbl,500,495,497,51,49,0.100806
500M2,R4,RAxML+fastTree,500,495,497,32,30,0.062500
500M2,R5,RAxML,500,496,497,48,47,0.095670
500M2,R5,FastTree-Dbl,500,496,497,53,52,0.105740
500M2,R5,RAxML+fastTree,500,496,497,40,39,0.079557
500M2,R6,RAxML,500,494,497,42,39,0.081736
500M2,R6,FastTree-Dbl,500,494,497,37,34,0.071645
500M2,R6,RAxML+fastTree,500,494,497,29,26,0.055499
500M2,R7,RAxML,500,496,497,42,41,0.083585
500M2,R7,FastTree-Dbl,500,496,497,36,35,0.071501
500M2,R7,RAxML+fastTree,500,496,497,30,29,0.059416
500M2,R8,RAxML,500,496,497,41,40,0.081571
500M2,R8,FastTree-Dbl,500,496,497,42,41,0.083585
500M2,R8,RAxML+fastTree,500,496,497,34,33,0.067472
500M2,R9,RAxML,500,496,497,47,46,0.093656
500M2,R9,FastTree-Dbl,500,496,497,42,41,0.083585
500M2,R9,RAxML+fastTree,500,496,497,36,35,0.071501
500M2,R10,RAxML,500,493,497,36,32,0.068687
500M2,R10,FastTree-Dbl,500,493,497,42,38,0.080808
500M2,R10,RAxML+fastTree,500,493,497,31,27,0.058586
500M2,R11,RAxML,500,495,497,44,42,0.086694
500M2,R11,FastTree-Dbl,500,495,497,48,46,0.094758
500M2,R11,RAxML+fastTree,500,495,497,41,39,0.080645
500M2,R12,RAxML,500,497,497,46,46,0.092555
500M2,R12,FastTree-Dbl,500,497,497,41,41,0.082495
500M2,R12,RAxML+fastTree,500,497,497,37,37,0.074447
500M2,R13,RAxML,500,493,497,38,34,0.072727
500M2,R13,FastTree-Dbl,500,493,497,42,38,0.080808
500M2,R13,RAxML+fastTree,500,493,497,34,30,0.064646
500M2,R14,RAxML,500,493,497,49,45,0.094949
500M2,R14,FastTree-Dbl,500,493,497,45,41,0.086869
500M2,R14,RAxML+fastTree,500,493,497,37,33,0.070707
500M2,R15,RAxML,500,494,497,33,30,0.063572
500M2,R15,FastTree-Dbl,500,494,497,39,36,0.075681
500M2,R15,RAxML+fastTree,500,494,497,29,26,0.055499
500M2,R16,RAxML,500,494,497,53,50,0.103935
500M2,R16,FastTree-Dbl,500,494,497,54,51,0.105954
500M2,R16,RAxML+fastTree,500,494,497,45,42,0.087790
500M2,R17,RAxML,500,495,497,48,46,0.094758
500M2,R17,FastTree-Dbl,500,495,497,42,40,0.082661
500M2,R17,RAxML+fastTree,500,495,497,34,32,0.066532
500M2,R18,RAxML,500,494,497,45,42,0.087790
500M2,R18,FastTree-Dbl,500,494,497,46,43,0.089808
500M2,R18,RAxML+fastTree,500,494,497,39,36,0.075681
500M2,R19,RAxML,500,495,497,62,60,0.122984
500M2,R19,FastTree-Dbl,500,495,497,52,50,0.102823
500M2,R19,RAxML+fastTree,500,495,497,42,40,0.082661
500M3,R0,RAxML,500,494,497,43,40,0.083754
500M3,R0,FastTree-Dbl,500,494,497,46,43,0.089808
500M3,R0,RAxML+fastTree,500,494,497,34,31,0.065590
500M3,R1,RAxML,500,494,497,51,48,0.099899
500M3,R1,FastTree-Dbl,500,494,497,45,42,0.087790
500M3,R1,RAxML+fastTree,500,494,497,40,37,0.077699
500M3,R2,RAxML,500,495,497,53,51,0.104839
500M3,R2,FastTree-Dbl,500,495,497,55,53,0.108871
500M3,R2,RAxML+fastTree,500,495,497,43,41,0.084677
500M3,R3,RAxML,500,492,497,52,47,0.100101
500M3,R3,FastTree-Dbl,500,492,497,44,39,0.083923
500M3,R3,RAxML+fastTree,500,492,497,37,32,0.069767
500M3,R4,RAxML,500,491,497,53,47,0.101215
500M3,R4,FastTree-Dbl,500,491,497,55,49,0.105263
500M3,R4,RAxML+fastTree,500,491,497,50,44,0.095142
500M3,R5,RAxML,500,496,497,45,44,0.089627
500M3,R5,FastTree-Dbl,500,496,497,42,41,0.083585
500M3,R5,RAxML+fastTree,500,496,497,37,36,0.073515
500M3,R6,RAxML,500,494,497,49,46,0.095863
500M3,R6,FastTree-Dbl,500,494,497,54,51,0.105954
500M3,R6,RAxML+fastTree,500,494,497,41,38,0.079717
500M3,R7,RAxML,500,491,497,52,46,0.099190
500M3,R7,FastTree-Dbl,500,491,497,52,46,0.099190
500M3,R7,RAxML+fastTree,500,491,497,40,34,0.074899
500M3,R8,RAxML,500,494,497,44,41,0.085772
500M3,R8,FastTree-Dbl,500,494,497,49,46,0.095863
500M3,R8,RAxML+fastTree,500,494,497,34,31,0.065590
500M3,R9,RAxML,500,495,497,43,41,0.084677
500M3,R9,FastTree-Dbl,500,495,497,40,38,0.078629
500M3,R9,RAxML+fastTree,500,495,497,33,31,0.064516
500M3,R10,RAxML,500,496,497,55,54,0.109768
500M3,R10,FastTree-Dbl,500,496,497,42,41,0.083585
500M3,R10,RAxML+fastTree,500,496,497,37,36,0.073515
500M3,R11,RAxML,500,494,497,49,46,0.095863
500M3,R11,FastTree-Dbl,500,494,497,48,45,0.093845
500M3,R11,RAxML+fastTree,500,494,497,40,37,0.077699
500M3,R12,RAxML,500,495,497,33,31,0.064516
500M3,R12,FastTree-Dbl,500,495,497,32,30,0.062500
500M3,R12,RAxML+fastTree,500,495,497,29,27,0.056452
500M3,R13,RAxML,500,494,497,49,46,0.095863
500M3,R13,FastTree-Dbl,500,494,497,39,36,0.075681
500M3,R13,RAxML+fastTree,500,494,497,33,30,0.063572
500M3,R14,RAxML,500,493,497,42,38,0.080808
500M3,R14,FastTree-Dbl,500,493,497,42,38,0.080808
500M3,R14,RAxML+fastTree,500,493,497,33,29,0.062626
500M3,R15,RAxML,500,496,497,47,46,0.093656
500M3,R15,FastTree-Dbl,500,496,497,40,39,0.079557
500M3,R15,RAxML+fastTree,500,496,497,35,34,0.069486
500M3,R16,RAxML,500,494,497,39,36,0.075681
500M3,R16,FastTree-Dbl,500,494,497,32,29,0.061554
500M3,R16,RAxML+fastTree,500,494,497,28,25,0.053481
500M3,R17,RAxML,500,495,497,58,56,0.114919
500M3,R17,FastTree-Dbl,500,495,497,58,56,0.114919
500M3,R17,RAxML+fastTree,500,495,497,49,47,0.096774
500M3,R18,RAxML,500,494,497,41,38,0.079717
500M3,R18,FastTree-Dbl,500,494,497,37,34,0.071645
500M3,R18,RAxML+fastTree,500,494,497,29,26,0.055499
500M3,R19,RAxML,500,494,497,40,37,0.077699
500M3,R19,FastTree-Dbl,500,494,497,41,38,0.079717
500M3,R19,RAxML+fastTree,500,494,497,35,32,0.067608
500M4,R0,RAxML,500,488,497,44,35,0.080203
500M4,R0,FastTree-Dbl,500,488,497,42,33,0.076142
500M4,R0,RAxML+fastTree,500,488,497,34,25,0.059898
500M4,R1,RAxML,500,491,497,25,19,0.044534
500M4,R1,FastTree-Dbl,500,491,497,32,26,0.058704
500M4,R1,RAxML+fastTree,500,491,497,25,19,0.044534
500M4,R2,RAxML,500,488,497,29,20,0.049746
500M4,R2,FastTree-Dbl,500,488,497,30,21,0.051777
500M4,R2,RAxML+fastTree,500,488,497,27,18,0.045685
500M4,R3,RAxML,500,485,497,33,21,0.054990
500M4,R3,FastTree-Dbl,500,485,497,34,22,0.057026
500M4,R3,RAxML+fastTree,500,485,497,31,19,0.050916
500M4,R4,RAxML,500,490,497,34,27,0.061803
500M4,R4,FastTree-Dbl,500,490,497,30,23,0.053698
500M4,R4,RAxML+fastTree,500,490,497,30,23,0.053698
500M4,R5,RAxML,500,486,497,34,23,0.057986
500M4,R5,FastTree-Dbl,500,486,497,34,23,0.057986
500M4,R5,RAxML+fastTree,500,486,497,27,16,0.043744
500M4,R6,RAxML,500,487,497,37,27,0.065041
500M4,R6,FastTree-Dbl,500,487,497,37,27,0.065041
500M4,R6,RAxML+fastTree,500,487,497,30,20,0.050813
500M4,R7,RAxML,500,486,497,30,19,0.049847
500M4,R7,FastTree-Dbl,500,486,497,29,18,0.047813
500M4,R7,RAxML+fastTree,500,486,497,28,17,0.045778
500M4,R8,RAxML,500,491,497,24,18,0.042510
500M4,R8,FastTree-Dbl,500,491,497,25,19,0.044534
500M4,R8,RAxML+fastTree,500,491,497,23,17,0.040486
500M4,R9,RAxML,500,481,497,43,27,0.071575
500M4,R9,FastTree-Dbl,500,481,497,48,32,0.081800
500M4,R9,RAxML+fastTree,500,481,497,42,26,0.069530
500M4,R10,RAxML,500,489,497,37,29,0.066937
500M4,R10,FastTree-Dbl,500,489,497,38,30,0.068966
500M4,R10,RAxML+fastTree,500,489,497,37,29,0.066937
500M4,R11,RAxML,500,488,497,28,19,0.047716
500M4,R11,FastTree-Dbl,500,488,497,35,26,0.061929
500M4,R11,RAxML+fastTree,500,488,497,28,19,0.047716
500M4,R12,RAxML,500,488,497,37,28,0.065990
500M4,R12,FastTree-Dbl,500,488,497,35,26,0.061929
500M4,R12,RAxML+fastTree,500,488,497,30,21,0.051777
500M4,R13,RAxML,500,484,497,40,27,0.068298
500M4,R13,FastTree-Dbl,500,484,497,35,22,0.058104
500M4,R13,RAxML+fastTree,500,484,497,32,19,0.051988
500M4,R14,RAxML,500,488,497,36,27,0.063959
500M4,R14,FastTree-Dbl,500,488,497,38,29,0.068020
500M4,R14,RAxML+fastTree,500,488,497,30,21,0.051777
500M4,R15,RAxML,500,492,497,36,31,0.067745
500M4,R15,FastTree-Dbl,500,492,497,39,34,0.073812
500M4,R15,RAxML+fastTree,500,492,497,33,28,0.061678
500M4,R16,RAxML,500,479,497,40,22,0.063525
500M4,R16,FastTree-Dbl,500,479,497,42,24,0.067623
500M4,R16,RAxML+fastTree,500,479,497,37,19,0.057377
500M4,R17,RAxML,500,487,497,37,27,0.065041
500M4,R17,FastTree-Dbl,500,487,497,38,28,0.067073
500M4,R17,RAxML+fastTree,500,487,497,34,24,0.058943
500M4,R18,RAxML,500,484,497,47,34,0.082569
500M4,R18,FastTree-Dbl,500,484,497,49,36,0.086646
500M4,R18,RAxML+fastTree,500,484,497,44,31,0.076453
500M4,R19,RAxML,500,488,497,43,34,0.078173
500M4,R19,FastTree-Dbl,500,488,497,37,28,0.065990
500M4,R19,RAxML+fastTree,500,488,497,36,27,0.063959
500M5,R0,RAxML,500,479,497,46,28,0.075820
500M5,R0,FastTree-Dbl,500,479,497,48,30,0.079918
500M5,R0,RAxML+fastTree,500,479,497,40,22,0.063525
500M5,R1,RAxML,500,479,497,42,24,0.067623
500M5,R1,FastTree-Dbl,500,479,497,38,20,0.059426
500M5,R1,RAxML+fastTree,500,479,497,36,18,0.055328
500M5,R2,RAxML,500,488,497,36,27,0.063959
500M5,R2,FastTree-Dbl,500,488,497,35,26,0.061929
500M5,R2,RAxML+fastTree,500,488,497,30,21,0.051777
500M5,R3,RAxML,500,484,497,45,32,0.078491
500M5,R3,FastTree-Dbl,500,484,497,44,31,0.076453
500M5,R3,RAxML+fastTree,500,484,497,36,23,0.060143
500M5,R4,RAxML,500,493,497,36,32,0.068687
500M5,R4,FastTree-Dbl,500,493,497,34,30,0.064646
500M5,R4,RAxML+fastTree,500,493,497,31,27,0.058586
500M5,R5,RAxML,500,488,497,30,21,0.051777
500M5,R5,FastTree-Dbl,500,488,497,36,27,0.063959
500M5,R5,RAxML+fastTree,500,488,497,30,21,0.051777
500M5,R6,RAxML,500,488,497,38,29,0.068020
500M5,R6,FastTree-Dbl,500,488,497,37,28,0.065990
500M5,R6,RAxML+fastTree,500,488,497,32,23,0.055838
500M5,R7,RAxML,500,491,497,34,28,0.062753
500M5,R7,FastTree-Dbl,500,491,497,34,28,0.062753
500M5,R7,RAxML+fastTree,500,491,497,31,25,0.056680
500M5,R8,RAxML,500,488,497,38,29,0.068020
500M5,R8,FastTree-Dbl,500,488,497,39,30,0.070051
500M5,R8,RAxML+fastTree,500,488,497,34,25,0.059898
500M5,R9,RAxML,500,487,497,52,42,0.095528
500M5,R9,FastTree-Dbl,500,487,497,53,43,0.097561
500M5,R9,RAxML+fastTree,500,487,497,46,36,0.083333
500M5,R10,RAxML,500,485,497,28,16,0.044807
500M5,R10,FastTree-Dbl,500,485,497,38,26,0.065173
500M5,R10,RAxML+fastTree,500,485,497,29,17,0.046843
500M5,R11,RAxML,500,489,497,38,30,0.068966
500M5,R11,FastTree-Dbl,500,489,497,40,32,0.073022
500M5,R11,RAxML+fastTree,500,489,497,36,28,0.064909
500M5,R12,RAxML,500,487,497,40,30,0.071138
500M5,R12,FastTree-Dbl,500,487,497,44,34,0.079268
500M5,R12,RAxML+fastTree,500,487,497,32,22,0.054878
500M5,R13,RAxML,500,490,497,36,29,0.065856
500M5,R13,FastTree-Dbl,500,490,497,41,34,0.075988
500M5,R13,RAxML+fastTree,500,490,497,32,25,0.057751
500M5,R14,RAxML,500,490,497,35,28,0.063830
500M5,R14,FastTree-Dbl,500,490,497,34,27,0.061803
500M5,R14,RAxML+fastTree,500,490,497,30,23,0.053698
500M5,R15,RAxML,500,491,497,32,26,0.058704
500M5,R15,FastTree-Dbl,500,491,497,35,29,0.064777
500M5,R15,RAxML+fastTree,500,491,497,29,23,0.052632
500M5,R16,RAxML,
500M5,R16,FastTree-Dbl,500,484,497,42,29,0.072375
500M5,R16,RAxML+fastTree,500,484,497,36,23,0.060143
500M5,R17,RAxML,500,490,497,34,27,0.061803
500M5,R17,FastTree-Dbl,500,490,497,38,31,0.069909
500M5,R17,RAxML+fastTree,500,490,497,34,27,0.061803
500M5,R18,RAxML,500,491,497,28,22,0.050607
500M5,R18,FastTree-Dbl,500,491,497,27,21,0.048583
500M5,R18,RAxML+fastTree,500,491,497,26,20,0.046559
500M5,R19,RAxML,500,485,497,36,24,0.061100
500M5,R19,FastTree-Dbl,500,485,497,39,27,0.067210
500M5,R19,RAxML+fastTree,500,485,497,33,21,0.054990
